model,bank,n_landmarks,median_foil_m,anchor_separation_m,complete,n,n_unparsed,acc,acc_d0,n_d0,acc_drot,n_drot,path
OpenGVLab/InternVL3-38B-hf,n01,1,0.9,4.0,1,100,0,0.26,0.55,20,0.1875,80,results/opengvlab_internvl3-38b-hf_setsize_n01_cot_anyview_n100.json
OpenGVLab/InternVL3_5-14B-HF,n01,1,0.9,4.0,1,100,0,0.21,0.35,20,0.175,80,results/opengvlab_internvl3_5-14b-hf_setsize_n01_cot_anyview_n100.json
OpenGVLab/InternVL3_5-1B-HF,n01,1,0.9,4.0,1,100,22,0.17,0.15,20,0.175,80,results/opengvlab_internvl3_5-1b-hf_setsize_n01_cot_anyview_n100.json
OpenGVLab/InternVL3_5-2B-HF,n01,1,0.9,4.0,1,100,0,0.22,0.25,20,0.2125,80,results/opengvlab_internvl3_5-2b-hf_setsize_n01_cot_anyview_n100.json
OpenGVLab/InternVL3_5-30B-A3B-HF,n01,1,0.9,4.0,1,100,0,0.23,0.3,20,0.2125,80,results/opengvlab_internvl3_5-30b-a3b-hf_setsize_n01_cot_anyview_n100.json
OpenGVLab/InternVL3_5-38B-HF,n01,1,0.9,4.0,1,100,0,0.23,0.55,20,0.15,80,results/opengvlab_internvl3_5-38b-hf_setsize_n01_cot_anyview_n100.json
OpenGVLab/InternVL3_5-4B-HF,n01,1,0.9,4.0,1,100,0,0.29,0.4,20,0.2625,80,results/opengvlab_internvl3_5-4b-hf_setsize_n01_cot_anyview_n100.json
OpenGVLab/InternVL3_5-8B-HF,n01,1,0.9,4.0,1,100,0,0.23,0.6,20,0.1375,80,results/opengvlab_internvl3_5-8b-hf_setsize_n01_cot_anyview_n100.json
openai/gpt-5.6-luna,n01,1,0.9,4.0,1,100,0,0.32,1.0,20,0.15,80,results/or_openai_gpt-5.6-luna_cot_anyview_setsize_n01_n100.json
Qwen/Qwen2.5-VL-32B-Instruct,n01,1,0.9,4.0,1,100,24,0.22,0.25,20,0.2125,80,results/qwen_qwen2.5-vl-32b-instruct_setsize_n01_cot_anyview_n100.json
Qwen/Qwen2.5-VL-3B-Instruct,n01,1,0.9,4.0,1,100,0,0.26,0.35,20,0.2375,80,results/qwen_qwen2.5-vl-3b-instruct_setsize_n01_cot_anyview_n100.json
Qwen/Qwen2.5-VL-72B-Instruct,n01,1,0.9,4.0,1,100,11,0.16,0.3,20,0.125,80,results/qwen_qwen2.5-vl-72b-instruct_setsize_n01_cot_anyview_n100.json
Qwen/Qwen2.5-VL-7B-Instruct,n01,1,0.9,4.0,1,100,0,0.28,0.35,20,0.2625,80,results/qwen_qwen2.5-vl-7b-instruct_setsize_n01_cot_anyview_n100.json
OpenGVLab/InternVL3-38B-hf,n02,2,7.6,10.0,1,100,0,0.32,0.75,20,0.2125,80,results/opengvlab_internvl3-38b-hf_setsize_n02_cot_anyview_n100.json
OpenGVLab/InternVL3_5-14B-HF,n02,2,7.6,10.0,1,100,0,0.32,0.65,20,0.2375,80,results/opengvlab_internvl3_5-14b-hf_setsize_n02_cot_anyview_n100.json
OpenGVLab/InternVL3_5-1B-HF,n02,2,7.6,10.0,1,100,0,0.21,0.35,20,0.175,80,results/opengvlab_internvl3_5-1b-hf_setsize_n02_cot_anyview_n100.json
OpenGVLab/InternVL3_5-2B-HF,n02,2,7.6,10.0,1,100,0,0.38,0.55,20,0.3375,80,results/opengvlab_internvl3_5-2b-hf_setsize_n02_cot_anyview_n100.json
OpenGVLab/InternVL3_5-30B-A3B-HF,n02,2,7.6,10.0,1,100,0,0.24,0.45,20,0.1875,80,results/opengvlab_internvl3_5-30b-a3b-hf_setsize_n02_cot_anyview_n100.json
OpenGVLab/InternVL3_5-38B-HF,n02,2,7.6,10.0,1,100,0,0.28,0.7,20,0.175,80,results/opengvlab_internvl3_5-38b-hf_setsize_n02_cot_anyview_n100.json
OpenGVLab/InternVL3_5-4B-HF,n02,2,7.6,10.0,1,100,0,0.23,0.45,20,0.175,80,results/opengvlab_internvl3_5-4b-hf_setsize_n02_cot_anyview_n100.json
OpenGVLab/InternVL3_5-8B-HF,n02,2,7.6,10.0,1,100,0,0.29,0.8,20,0.1625,80,results/opengvlab_internvl3_5-8b-hf_setsize_n02_cot_anyview_n100.json
openai/gpt-5.6-luna,n02,2,7.6,10.0,1,100,0,0.41,1.0,20,0.2625,80,results/or_openai_gpt-5.6-luna_cot_anyview_setsize_n02_n100.json
Qwen/Qwen2.5-VL-32B-Instruct,n02,2,7.6,10.0,1,100,0,0.25,0.55,20,0.175,80,results/qwen_qwen2.5-vl-32b-instruct_setsize_n02_cot_anyview_n100.json
Qwen/Qwen2.5-VL-3B-Instruct,n02,2,7.6,10.0,1,100,0,0.31,0.45,20,0.275,80,results/qwen_qwen2.5-vl-3b-instruct_setsize_n02_cot_anyview_n100.json
Qwen/Qwen2.5-VL-72B-Instruct,n02,2,7.6,10.0,1,100,0,0.28,0.7,20,0.175,80,results/qwen_qwen2.5-vl-72b-instruct_setsize_n02_cot_anyview_n100.json
Qwen/Qwen2.5-VL-7B-Instruct,n02,2,7.6,10.0,1,100,0,0.22,0.25,20,0.2125,80,results/qwen_qwen2.5-vl-7b-instruct_setsize_n02_cot_anyview_n100.json
OpenGVLab/InternVL3-38B-hf,n04,4,23.2,12.0,1,100,0,0.36,0.8,20,0.25,80,results/opengvlab_internvl3-38b-hf_setsize_n04_cot_anyview_n100.json
OpenGVLab/InternVL3_5-1B-HF,n04,4,23.2,12.0,1,100,5,0.26,0.25,20,0.2625,80,results/opengvlab_internvl3_5-1b-hf_setsize_n04_cot_anyview_n100.json
OpenGVLab/InternVL3_5-2B-HF,n04,4,23.2,12.0,1,100,0,0.26,0.3,20,0.25,80,results/opengvlab_internvl3_5-2b-hf_setsize_n04_cot_anyview_n100.json
OpenGVLab/InternVL3_5-38B-HF,n04,4,23.2,12.0,1,100,0,0.33,0.75,20,0.225,80,results/opengvlab_internvl3_5-38b-hf_setsize_n04_cot_anyview_n100.json
OpenGVLab/InternVL3_5-4B-HF,n04,4,23.2,12.0,1,100,0,0.39,0.85,20,0.275,80,results/opengvlab_internvl3_5-4b-hf_setsize_n04_cot_anyview_n100.json
OpenGVLab/InternVL3_5-8B-HF,n04,4,23.2,12.0,1,100,0,0.38,0.9,20,0.25,80,results/opengvlab_internvl3_5-8b-hf_setsize_n04_cot_anyview_n100.json
openai/gpt-5.6-luna,n04,4,23.2,12.0,1,100,0,0.62,1.0,20,0.525,80,results/or_openai_gpt-5.6-luna_cot_anyview_setsize_n04_n100.json
Qwen/Qwen2.5-VL-32B-Instruct,n04,4,23.2,12.0,1,100,0,0.33,0.8,20,0.2125,80,results/qwen_qwen2.5-vl-32b-instruct_setsize_n04_cot_anyview_n100.json
Qwen/Qwen2.5-VL-3B-Instruct,n04,4,23.2,12.0,1,100,0,0.26,0.45,20,0.2125,80,results/qwen_qwen2.5-vl-3b-instruct_setsize_n04_cot_anyview_n100.json
Qwen/Qwen2.5-VL-72B-Instruct,n04,4,23.2,12.0,1,100,0,0.32,0.95,20,0.1625,80,results/qwen_qwen2.5-vl-72b-instruct_setsize_n04_cot_anyview_n100.json
Qwen/Qwen2.5-VL-7B-Instruct,n04,4,23.2,12.0,1,100,0,0.28,0.6,20,0.2,80,results/qwen_qwen2.5-vl-7b-instruct_setsize_n04_cot_anyview_n100.json
OpenGVLab/InternVL3_5-38B-HF,n06,6,28.6,12.0,1,100,0,0.32,0.75,20,0.2125,80,results/opengvlab_internvl3_5-38b-hf_setsize_n06_cot_anyview_n100.json
openai/gpt-5.6-luna,n06,6,28.6,12.0,1,100,1,0.8,1.0,20,0.75,80,results/or_openai_gpt-5.6-luna_cot_anyview_setsize_n06_n100.json
Qwen/Qwen2.5-VL-72B-Instruct,n06,6,28.6,12.0,1,100,0,0.35,1.0,20,0.1875,80,results/qwen_qwen2.5-vl-72b-instruct_setsize_n06_cot_anyview_n100.json
