key,trial_id,mode,delta,correct_choice,model_choice,is_correct,min_foil_distance_m
human_p01,c0_shape_colour_d000_t10,c0_shape_colour,0,1,1,1,7.060
human_p01,c0_shape_colour_d000_t14,c0_shape_colour,0,1,1,1,4.400
human_p01,c0_shape_colour_d000_t16,c0_shape_colour,0,4,4,1,6.240
human_p01,c0_shape_colour_d000_t18,c0_shape_colour,0,3,3,1,6.270
human_p01,c0_shape_colour_d045_t00,c0_shape_colour,45,4,1,0,6.470
human_p01,c0_shape_colour_d045_t11,c0_shape_colour,45,2,2,1,4.570
human_p01,c0_shape_colour_d045_t13,c0_shape_colour,45,1,1,1,6.520
human_p01,c0_shape_colour_d045_t16,c0_shape_colour,45,3,3,1,5.510
human_p01,c0_shape_colour_d090_t07,c0_shape_colour,90,2,2,1,6.860
human_p01,c0_shape_colour_d090_t17,c0_shape_colour,90,3,3,1,6.040
human_p01,c0_shape_colour_d090_t18,c0_shape_colour,90,4,4,1,6.400
human_p01,c0_shape_colour_d090_t19,c0_shape_colour,90,2,2,1,10.660
human_p01,c0_shape_colour_d135_t00,c0_shape_colour,135,3,3,1,3.680
human_p01,c0_shape_colour_d135_t02,c0_shape_colour,135,4,4,1,10.550
human_p01,c0_shape_colour_d135_t07,c0_shape_colour,135,4,4,1,6.070
human_p01,c0_shape_colour_d135_t12,c0_shape_colour,135,2,2,1,5.800
human_p01,c0_shape_colour_d180_t06,c0_shape_colour,180,3,3,1,5.390
human_p01,c0_shape_colour_d180_t13,c0_shape_colour,180,4,4,1,6.310
human_p01,c0_shape_colour_d180_t17,c0_shape_colour,180,4,4,1,3.470
human_p01,c0_shape_colour_d180_t18,c0_shape_colour,180,4,4,1,5.800
human_p01,c1_shape_d000_t00,c1_shape,0,2,2,1,5.510
human_p01,c1_shape_d000_t01,c1_shape,0,3,3,1,4.840
human_p01,c1_shape_d000_t18,c1_shape,0,2,2,1,3.110
human_p01,c1_shape_d000_t19,c1_shape,0,4,4,1,7.510
human_p01,c1_shape_d045_t08,c1_shape,45,3,3,1,5.220
human_p01,c1_shape_d045_t12,c1_shape,45,4,4,1,8.730
human_p01,c1_shape_d045_t13,c1_shape,45,2,2,1,8.780
human_p01,c1_shape_d045_t16,c1_shape,45,4,4,1,7.930
human_p01,c1_shape_d090_t04,c1_shape,90,1,1,1,8.410
human_p01,c1_shape_d090_t07,c1_shape,90,2,1,0,5.610
human_p01,c1_shape_d090_t08,c1_shape,90,3,1,0,8.240
human_p01,c1_shape_d090_t12,c1_shape,90,1,1,1,8.120
human_p01,c1_shape_d135_t07,c1_shape,135,4,4,1,5.930
human_p01,c1_shape_d135_t10,c1_shape,135,3,3,1,7.060
human_p01,c1_shape_d135_t14,c1_shape,135,4,4,1,8.990
human_p01,c1_shape_d135_t18,c1_shape,135,4,4,1,5.180
human_p01,c1_shape_d180_t08,c1_shape,180,3,1,0,7.720
human_p01,c1_shape_d180_t10,c1_shape,180,2,1,0,9.940
human_p01,c1_shape_d180_t13,c1_shape,180,4,4,1,3.710
human_p01,c1_shape_d180_t15,c1_shape,180,4,4,1,4.570
human_p01,c2_colour_d000_t02,c2_colour,0,2,2,1,5.960
human_p01,c2_colour_d000_t11,c2_colour,0,2,2,1,10.270
human_p01,c2_colour_d000_t12,c2_colour,0,4,4,1,6.520
human_p01,c2_colour_d000_t19,c2_colour,0,3,3,1,7.110
human_p01,c2_colour_d045_t00,c2_colour,45,2,2,1,5.220
human_p01,c2_colour_d045_t06,c2_colour,45,3,3,1,6.900
human_p01,c2_colour_d045_t18,c2_colour,45,4,4,1,5.950
human_p01,c2_colour_d045_t19,c2_colour,45,1,1,1,7.440
